fingerprint,sequence,keyboard,mouse, touch, starttime, firstchartime, lastchartime, endtime, maxtimebetweenchars, mintimebetweenchars, avgtimebetweenchars
"0.768633540594","00000010000101100000100000010",1,0,0,"1410556384244","1410556420123","1410556458614","1410556461288","497","29","439"
"0.768633540594","100111000010000000000001",1,0,0,"1410556384244","1410556426002","1410556442544","1410556442779","499","25","402"
"0.768633540594","000001000111110010000111010001100000100000101010000101001000110000011101000011000000010",1,0,0,"1410642784244","1410642831991","1410642834307","1410642836811","441","24","449"
"0.768633540594","010001101000100110011100000001001000011000100000",1,0,0,"1410988384244","1410988413423","1410988451390","1410988451723","561","28","411"
"0.768633540594","1101101100000011000110000000110110000000111010110000100011100100001",1,0,0,"1411333984244","1411334037456","1411334052913","1411334053801","579","27","406"
"0.768633540594","000001100000000000101000101010001000010000011100000000000000000000010000001000000001100111",1,0,0,"1411420384244","1411420416859","1411420427710","1411420430468","562","21","407"
"0.768633540594","010000110000010000001110100000010100000000000000000001",1,0,0,"1411593184244","1411593203506","1411593208360","1411593208498","413","27","429"
"0.768633540594","1000101000101001110100101010100001001010100001010010000000000010100000",1,0,0,"1411852384244","1411852408206","1411852428044","1411852429041","560","25","446"
"0.768633540594","00101000000000000001110000110000000000010001110001101010001000000",1,0,0,"1412111584244","1412111617970","1412111630388","1412111632965","513","27","429"
"0.768633540594","100",1,0,0,"1412197984244","1412198000201","1412198033232","1412198034930","577","26","412"
"0.127416367814","10000001001001000000000000001001000",1,1,0,"1416690784244","1416690788922","1416690810824","1416690815427","600","76","447"
"0.127416367814","00000011001001001100000",1,1,0,"1416863584244","1416863590778","1416863594386","1416863599094","431","64","417"
"0.127416367814","000000010000000010000100000001000010000010010100000",1,1,0,"1417036384244","1417036402326","1417036459271","1417036463346","526","75","413"
"0.127416367814","1000100001000110000010100000100001000",1,1,0,"1417381984244","1417381987548","1417381999542","1417382004416","439","78","445"
"0.127416367814","10001100001010000110000001110000010001100101011000000001100011000",1,1,0,"1417381984244","1417382004937","1417382032955","1417382037612","481","97","407"
"0.127416367814","110000011100101100001",1,1,0,"1417727584244","1417727592504","1417727614935","1417727619036","445","94","403"
"0.127416367814","10000000000101100001110000000101100101000",1,1,0,"1417727584244","1417727594634","1417727604775","1417727608029","501","71","437"
"0.127416367814","0000000011010000000000001000001111000110000",1,1,0,"1417986784244","1417986797732","1417986800680","1417986804146","517","85","416"
"0.127416367814","1000000001111000100000000110000101101110100000000000100",1,1,0,"1418332384244","1418332403564","1418332444651","1418332450200","418","72","429"
"0.127416367814","00101000011001000000000000000010100",1,1,0,"1418418784244","1418418810995","1418418824769","1418418828286","430","72","424"
"0.525264705215","00000010010100010",0,1,0,"1413148384244","1413148421499","1413148425708","1413148425728","2320","90","434"
"0.525264705215","00010001000000100001100001000000010000000011001000000000100",0,1,0,"1413493984244","1413493986890","1413494015658","1413494016664","2464","61","423"
"0.525264705215","01110010000000010000100000000001010010000010100000000",0,1,0,"1413666784244","1413666784593","1413666789101","1413666790481","2291","69","409"
"0.525264705215","00000001110000010000100001001110010010001111000000100010010000000010001000000",0,1,0,"1414012384244","1414012407708","1414012414816","1414012416657","2485","95","439"
"0.525264705215","11100000010",0,1,0,"1414271584244","1414271606547","1414271625611","1414271628034","2301","64","433"
"0.525264705215","01001000100",0,1,0,"1414444384244","1414444396652","1414444398723","1414444400838","2341","96","441"
"0.525264705215","00101101100000000100011110110000100101001000000000100101010100100010000000001001000000000000000001101000000101000010000010000000100000010100000101000000000100000010001",0,1,0,"1414789984244","1414790013933","1414790025246","1414790027804","2090","91","422"
"0.525264705215","11011101000100000001010",0,1,0,"1415135584244","1415135587616","1415135593349","1415135595725","2282","92","400"
"0.525264705215","00100110000001000010000000001000010001001001011000010000000100010100000110000010001000000100010010000000000011010000000",0,1,0,"1415221984244","1415222014708","1415222035072","1415222036692","2058","99","423"
"0.525264705215","0010101100001000100",0,1,0,"1415221984244","1415222020533","1415222023083","1415222024418","2161","72","415"
"0.957133657845","11101011011101",0,1,1,"1410815584244","1410815596414","1410815647181","1410815652288","676","70","246"
"0.957133657845","0010111011100",0,1,1,"1410815584244","1410815623795","1410815695424","1410815699989","752","85","268"
"0.957133657845","1111110011111010110111111100111011110100011",0,1,1,"1410988384244","1410988415286","1410988423588","1410988429301","680","71","255"
"0.957133657845","11111110111111111110110010011110111111111111110111111111110111101",0,1,1,"1411161184244","1411161184513","1411161262291","1411161268021","625","75","275"
"0.957133657845","0110010010110100110111101111111111111101111111000011001",0,1,1,"1411247584244","1411247615841","1411247680373","1411247683374","720","91","254"
"0.957133657845","111011011111001110100111110101111110101011001111111",0,1,1,"1411593184244","1411593194025","1411593239758","1411593245498","743","72","257"
"0.957133657845","1111011110001111010110110101101011111110101101011001011100",0,1,1,"1411938784244","1411938797539","1411938875562","1411938880519","619","67","279"
"0.957133657845","010001111101111111111111111001111111011",0,1,1,"1412025184244","1412025214752","1412025222426","1412025228169","756","80","260"
"0.957133657845","101011111011",0,1,1,"1412111584244","1412111594904","1412111604792","1412111608286","725","70","262"
"0.957133657845","10111011111001101100111110101110110010101111111110011",0,1,1,"1412370784244","1412370816067","1412370831554","1412370836418","633","76","270"
"0.552799875824","010111111111111011111111011111101101101111111111000111111111011011011",0,0,0,"1411420384244","1411420393772","1411420396090","1411420401337","376","59","172"
"0.552799875824","0010111111",0,0,0,"1411593184244","1411593194375","1411593200738","1411593204612","249","56","165"
"0.552799875824","11111111010001111110101111111100111111",0,0,0,"1411765984244","1411766018884","1411766019540","1411766024360","267","55","180"
"0.552799875824","1",0,0,0,"1411765984244","1411765991282","1411765992262","1411765998007","302","55","171"
"0.552799875824","001101111",0,0,0,"1412025184244","1412025215960","1412025218013","1412025223440","267","53","169"
"0.552799875824","111011111011111111101111011101111001110011",0,0,0,"1412197984244","1412197996945","1412198002070","1412198006413","274","59","179"
"0.552799875824","011101101011101100110111101111101001111100110100111111010011110111101111111010111111111",0,0,0,"1412370784244","1412370813297","1412370815944","1412370821080","368","54","176"
"0.552799875824","1110111110",0,0,0,"1412370784244","1412370822751","1412370832710","1412370836708","303","56","163"
"0.552799875824","1010001000111000011110101010111010",0,0,0,"1412543584244","1412543608790","1412543617827","1412543620946","377","59","166"
"0.552799875824","011111",0,0,0,"1412716384244","1412716414371","1412716421682","1412716426257","257","53","174"
"0.191590634851","10010111111011101010101001111111111111111110111101111101111111111101110111111111",0,0,0,"1411593184244","1411593224133","1411593250701","1411593253417","3238","34","42"
"0.191590634851","1101110011100101011011100011110110101111100010111111111",0,0,0,"1411679584244","1411679629284","1411679645791","1411679646247","4071","36","52"
"0.191590634851","101111011011110110100100111111111010101111100111111111001101111101",0,0,0,"1411938784244","1411938822840","1411938826253","1411938828167","3933","35","10"
"0.191590634851","11111111111111111111101011111101101011011111011011",0,0,0,"1411938784244","1411938812468","1411938817090","1411938818481","4988","32","101"
"0.191590634851","1111111111101111",0,0,0,"1412197984244","1412198025226","1412198043590","1412198045993","4747","37","26"
"0.191590634851","110000110111111101111111001111111110011111010001111110101101100001111",0,0,0,"1412284384244","1412284429649","1412284443647","1412284446156","4145","34","22"
"0.191590634851","1111110101111011111100010111101110011111111101101",0,0,0,"1412543584244","1412543594815","1412543604614","1412543604859","4974","35","47"
"0.191590634851","11100111100110110111110001011111111111001111111111110101011",0,0,0,"1412543584244","1412543594546","1412543600866","1412543603634","3942","33","86"
"0.191590634851","0101111010000101101010111111110100100001110110111111",0,0,0,"1412543584244","1412543611131","1412543626084","1412543626945","3700","34","1"
"0.191590634851","1001111110011111101111101011111110100101010011111011011111",0,0,0,"1412716384244","1412716407137","1412716427978","1412716429674","3797","31","106"
